business_name,average_inspection_score,business_postal_code,business_latitude,business_longitude,business_location
111 Minna Gallery,95.33333333333333,94105,37.787378,-122.399459,POINT (-122.399459 37.787378)
12 Tribes Kosher Foods,98.0,94118,37.787311,-122.446839,POINT (-122.446839 37.787311)
15 Romolo,88.0,94133,37.798244,-122.406324,POINT (-122.406324 37.798244)
17th & Noe Market,96.0,94114,37.762638,-122.433242,POINT (-122.433242 37.762638)
18 Reasons,95.0,94110,37.761498,-122.425402,POINT (-122.425402 37.761498)
18th Street Commissary,81.0,94110,37.761965,-122.417948,POINT (-122.417948 37.761965)
19th Ave Shell,92.0,94122,37.765421,-122.477256,POINT (-122.477256 37.765421)
21 Taste House,88.33333333333333,94112,37.723461,-122.454226,POINT (-122.454226 37.723461)
21ST AMENDMENT BREWERY CAFE,88.5,94107,37.782364,-122.392662,POINT (-122.392662 37.782364)
24 HR CONVENIENCE MKT,100.0,94117,37.776594,-122.438144,POINT (-122.438144 37.776594)
24TH STREET CHEESE COMPANY,95.33333333333333,94114,37.751564,-122.429369,POINT (-122.429369 37.751564)
260 Golden Gate Family Residence,98.0,94102,37.781792,-122.414891,POINT (-122.414891 37.781792)
360 Gourmet Burrito,90.66666666666667,94104,37.789064,-122.402861,POINT (-122.402861 37.789064)
3RD BAPTIST FELLOWSHIP HALL,98.0,94115,37.778233,-122.434677,POINT (-122.434677 37.778233)
3rd Floor Banquet Kitchen,88.0,94103,37.785207,-122.400629,POINT (-122.400629 37.785207)
5 Degree Tea House,88.0,94134,37.729753,-122.40447,POINT (-122.40447 37.729753)
54 Mint Wine Bar,93.66666666666667,94103,37.782777,-122.407877,POINT (-122.407877 37.782777)
5A5 Steak Lounge,89.0,94111,37.796921,-122.400039,POINT (-122.400039 37.796921)
6001 California Market,77.33333333333333,94121,37.783984,-122.481969,POINT (-122.481969 37.783984)
7-ELEVEN #20473,94.66666666666667,94116,37.742448,-122.490032,POINT (-122.490032 37.742448)
7-ELEVEN STORE 2230-23342E,90.0,94112,37.709683,-122.457571,POINT (-122.457571 37.709683)
7-Eleven #2366-34977,85.5,94102,37.789118,-122.409048,POINT (-122.409048 37.789118)
7-Eleven Store 2231-33429A,88.33333333333333,94111,37.794066,-122.396535,POINT (-122.396535 37.794066)
"7-Eleven, Store 2231-33006B",92.66666666666667,94133,37.807888,-122.414027,POINT (-122.414027 37.807888)
"7-Eleven, Store 2231-33501",88.5,94104,37.789575,-122.401091,POINT (-122.401091 37.789575)
"7-Eleven, Store 2366-21389F",87.66666666666667,94134,37.712166,-122.402934,POINT (-122.402934 37.712166)
7-Mission Restaurant,87.5,94103,37.778547,-122.41013,POINT (-122.41013 37.778547)
77 Chinese Cuisine,83.33333333333333,94111,37.791984,-122.399754,POINT (-122.399754 37.791984)
901 Columbus Cafe,91.0,94133,37.803056,-122.414186,POINT (-122.414186 37.803056)
A B C MARKET,96.0,94110,37.749612,-122.408789,POINT (-122.408789 37.749612)
A La Turca,84.0,94109,37.786143,-122.417617,POINT (-122.417617 37.786143)
A&M LIQUOR,95.0,94109,37.786928,-122.426964,POINT (-122.426964 37.786928)
A-1 BAKERY,85.0,94112,37.724824,-122.460726,POINT (-122.460726 37.724824)
A-1 Liquor & Grocery,91.0,94122,37.762434,-122.501281,POINT (-122.501281 37.762434)
A. TARANTINO & SONS INC.,97.0,94124,37.725932,-122.3896,POINT (-122.3896 37.725932)
A.K. Meat,95.0,94118,37.782058,-122.484602,POINT (-122.484602 37.782058)
A1 Geneva Bakery,76.5,94112,37.715986,-122.440039,POINT (-122.440039 37.715986)
A16,96.0,94123,37.800043,-122.442097,POINT (-122.442097 37.800043)
A2 CAFE,74.0,94107,37.767224,-122.399039,POINT (-122.399039 37.767224)
ABC Super Market Inc,90.0,94133,37.797753,-122.407597,POINT (-122.407597 37.797753)
ABE'S MARKET,93.0,94117,37.772822,-122.430498,POINT (-122.430498 37.772822)
ABSINTHE BRASSERIE & BAR,90.66666666666667,94102,37.77694,-122.422962,POINT (-122.422962 37.77694)
ABSINTHE PASTRY,92.33333333333333,94102,37.777492,-122.421458,POINT (-122.421458 37.777492)
ACE WASABI'S ROCK N ROLL SUSHI,88.0,94123,37.800215,-122.437834,POINT (-122.437834 37.800215)
ADELITA'S CAKES,76.0,94110,37.736304,-122.424432,POINT (-122.424432 37.736304)
